word_id,entries_idx,examples_idx,text,translation
1,0,0,"Nowadays, people are too obsessed with the fabulous lifestyles of, celebrities.",
2,0,0,"For networking purposes, it’s important to pay attention to the job titles of the people you meet at a professional conference.",
3,0,0,The films of Luca Guadino evoke the ‘Golden Age’ of classical cinema.,
4,0,0,Parents should always try to set aside the time to read and play with their young children.,
5,0,0,The union launched the strike because it was not willing to make steep concessions regarding overtime pay.,
5,1,0,University students receive a concession of 50% on admission to sporting events.,
6,0,0,The orientation session covering employee health insurance will be replaced bt a welcome speech from the CEO.,
7,0,0,New laws ought to be made to protect residents and the environment from the dangers of natural gas extraction.,
8,0,0,The local wildlife authority will also answer queries about seasonal hunting and fishing limits.,
9,0,0,The ruins of several Roman forts can still be seen throughout tge English countryside.,
10,0,0,Many advertising experts agree that releasing several short commercials instead of a single long one is a clever marketing scheme.,
11,0,0,Providing a healthy breakfast to primary school students will have an immediate effect on their academic performance.,
12,0,0,Critics did not fully appreciate Van Gogh’s talent or artistic vision until long after his passing.,
12,1,0,"When walking through the slums of Kolkata, you immediately appreciate the depth of poverty faced by local residents.",
13,0,0,We will have to divide the group into parties of eight for everyone’s convenience on the tour,
14,0,0,Any queries regarding room and trip reservations can be answered by the hotel’s front desk attendant.,
15,0,0,"Tourist exploring the island can harm the natural environment, often without even realizing it",
15,1,0,Lad procedures must be followed in order to prevent personal harm.,
16,0,0,The study’s primary objective is to find out why the coral reefs are dying,
16,1,0,Some art critics believe the value of art is determined by objective methods of evaluation rather than individuals’ reactions.,
17,0,0,"Cetaceans are marine mammals comprising whales, dolphins and porpoises.","고래목에 속한 동물들은 고래와 돌고래, 그리고 작은 돌고래를 포함하는 해양 포유동물이다."
18,0,0,Tablet devices are critical to increasing the efficiency of out serving staff.,태블릿 기기는 우리 서빙 담당 직원들의 업무 효율성을 높이는 데 있어 대단히 중요하다.
19,0,0,The new recycling scheme is designed to save precious and limited natural resources in an easier way.,그 새로운 재활용 사업은 귀하고 제한적인 천연 자원을 좀 더 쉬운 방법으로 보존할 수 있도록 고안되었다.
20,0,0,Poor economic conditions are a massive obstacle to technological development.,어려운 경제 상황이 기술 발전에 엄청난 장애물이 되고 있다.
21,0,0,The international Test Commissions overseas the proper administration and application of educational tests.,국제 시험 관리 위원회는 교육적인 시험의 적절한 시행과 집행을 총괄한다.
